Game,TOI,CF%,SCF%,SH%,SV%,PDO,Division
"2021-03-08 - Kings 5, Ducks 6",52.55,45.68,53.19,22.22,86.96,1.092,West
"2021-03-08 - Kings 5, Ducks 6",52.55,54.32,46.81,13.04,77.78,0.908,West
"2021-03-10 - Coyotes 1, Avalanche 2",45.45,34.69,28.85,11.11,97.37,1.085,West
"2021-03-10 - Coyotes 1, Avalanche 2",45.45,65.31,71.15,2.63,88.89,0.915,West
"2021-03-10 - Golden Knights 3, Wild 4",47.583333333333,45.88,50.0,13.04,94.74,1.078,West
"2021-03-10 - Golden Knights 3, Wild 4",47.583333333333,54.12,50.0,5.26,86.96,0.922,West
"2021-03-10 - Kings 5, Ducks 1",45.45,50.57,35.56,3.85,90.0,0.938,West
"2021-03-10 - Kings 5, Ducks 1",45.45,49.43,64.44,10.0,96.15,1.062,West
"2021-03-12 - Coyotes 0, Wild 4",43.433333333333,50.0,46.15,0.0,83.33,0.833,West
"2021-03-12 - Coyotes 0, Wild 4",43.433333333333,50.0,53.85,16.67,100.0,1.167,West
"2021-03-12 - Golden Knights 5, Blues 4",49.283333333333,35.56,27.78,11.11,87.88,0.99,West
"2021-03-12 - Golden Knights 5, Blues 4",49.283333333333,64.44,72.22,12.12,88.89,1.01,West
"2021-03-12 - Kings 0, Avalanche 2",49.8,72.22,80.95,2.94,100.0,1.029,West
"2021-03-12 - Kings 0, Avalanche 2",49.8,27.78,19.05,0.0,97.06,0.971,West
"2021-03-12 - Sharks 6, Ducks 0",54.95,58.42,55.77,0.0,84.0,0.84,West
"2021-03-12 - Sharks 6, Ducks 0",54.95,41.58,44.23,16.0,100.0,1.16,West
"2021-03-13 - Golden Knights 5, Blues 1",46.45,37.04,45.16,4.55,82.61,0.872,West
"2021-03-13 - Golden Knights 5, Blues 1",46.45,62.96,54.84,17.39,95.45,1.128,West
"2021-03-13 - Sharks 3, Ducks 1",43.583333333333,45.57,48.89,6.25,88.0,0.943,West
"2021-03-13 - Sharks 3, Ducks 1",43.583333333333,54.43,51.11,12.0,93.75,1.058,West
"2021-03-14 - Coyotes 1, Wild 4",45.65,43.88,33.33,5.26,93.1,0.984,West
"2021-03-14 - Coyotes 1, Wild 4",45.65,56.12,66.67,6.9,94.74,1.016,West
"2021-03-14 - Kings 1, Avalanche 4",46.683333333333,52.17,54.76,10.0,95.24,1.052,West
"2021-03-14 - Kings 1, Avalanche 4",46.683333333333,47.83,45.24,4.76,90.0,0.948,West
"2021-03-15 - Sharks 1, Golden Knights 2",53.816666666667,44.95,46.55,4.55,96.77,1.013,West
"2021-03-15 - Sharks 1, Golden Knights 2",53.816666666667,55.05,53.45,3.23,95.45,0.987,West
"2021-03-16 - Coyotes 0, Wild 3",43.583333333333,54.93,48.57,0.0,87.5,0.875,West
"2021-03-16 - Coyotes 0, Wild 3",43.583333333333,45.07,51.43,12.5,100.0,1.125,West
"2021-03-16 - Ducks 4, Avalanche 8",48.316666666667,28.09,23.26,21.43,83.33,1.048,West
"2021-03-16 - Ducks 4, Avalanche 8",48.316666666667,71.91,76.74,16.67,78.57,0.952,West
"2021-03-17 - Blues 1, Kings 4",52.55,46.84,48.89,10.53,95.0,1.055,West
"2021-03-17 - Blues 1, Kings 4",52.55,53.16,51.11,5.0,89.47,0.945,West
"2021-03-17 - Sharks 4, Golden Knights 5",45.85,42.67,58.82,11.54,86.36,0.979,West
"2021-03-17 - Sharks 4, Golden Knights 5",45.85,57.33,41.18,13.64,88.46,1.021,West
"2021-03-18 - Coyotes 2, Ducks 3",47.55,61.36,48.89,7.41,90.91,0.983,West
"2021-03-18 - Coyotes 2, Ducks 3",47.55,38.64,51.11,9.09,92.59,1.017,West
"2021-03-18 - Wild 1, Avalanche 5",48.933333333333,68.48,78.26,10.0,100.0,1.1,West
"2021-03-18 - Wild 1, Avalanche 5",48.933333333333,31.52,21.74,0.0,90.0,0.9,West
"2021-03-19 - Blues 2, Sharks 1",54.0,50.43,55.36,3.85,100.0,1.038,West
"2021-03-19 - Blues 2, Sharks 1",54.0,49.57,44.64,0.0,96.15,0.962,West
"2021-03-19 - Golden Knights 4, Kings 2",52.333333333333,46.94,40.98,9.09,86.67,0.958,West
"2021-03-19 - Golden Knights 4, Kings 2",52.333333333333,53.06,59.02,13.33,90.91,1.042,West
"2021-03-20 - Blues 5, Sharks 2",52.816666666667,59.52,63.41,7.14,83.33,0.905,West
"2021-03-20 - Blues 5, Sharks 2",52.816666666667,40.48,36.59,16.67,92.86,1.095,West
"2021-03-20 - Coyotes 5, Ducks 1",53.866666666667,47.62,55.56,4.35,82.61,0.87,West
"2021-03-20 - Coyotes 5, Ducks 1",53.866666666667,52.38,44.44,17.39,95.65,1.13,West
"2021-03-20 - Wild 0, Avalanche 6",49.033333333333,61.7,69.77,13.16,100.0,1.132,West
"2021-03-20 - Wild 0, Avalanche 6",49.033333333333,38.3,30.23,0.0,86.84,0.868,West
"2021-03-21 - Golden Knights 1, Kings 3",48.15,43.62,42.55,7.69,96.3,1.04,West
"2021-03-21 - Golden Knights 1, Kings 3",48.15,56.38,57.45,3.7,92.31,0.96,West
"2021-03-22 - Avalanche 5, Coyotes 1",50.433333333333,39.05,37.74,0.0,86.67,0.867,West
"2021-03-22 - Avalanche 5, Coyotes 1",50.433333333333,60.95,62.26,13.33,100.0,1.133,West
"2021-03-22 - Blues 1, Golden Knights 5",50.933333333333,39.08,34.15,6.67,88.0,0.947,West
"2021-03-22 - Blues 1, Golden Knights 5",50.933333333333,60.92,65.85,12.0,93.33,1.053,West
"2021-03-22 - Ducks 1, Wild 2",48.766666666667,56.32,48.84,4.55,94.74,0.993,West
"2021-03-22 - Ducks 1, Wild 2",48.766666666667,43.68,51.16,5.26,95.45,1.007,West
"2021-03-22 - Kings 1, Sharks 2",44.3,55.68,48.89,3.13,88.24,0.914,West
"2021-03-22 - Kings 1, Sharks 2",44.3,44.32,51.11,11.76,96.88,1.086,West
"2021-03-23 - Avalanche 4, Coyotes 5",46.616666666667,46.59,34.88,17.39,88.89,1.063,West
"2021-03-23 - Avalanche 4, Coyotes 5",46.616666666667,53.41,65.12,11.11,82.61,0.937,West
"2021-03-24 - Ducks 2, Wild 3",51.416666666667,58.62,56.25,7.41,90.0,0.974,West
"2021-03-24 - Ducks 2, Wild 3",51.416666666667,41.38,43.75,10.0,92.59,1.026,West
"2021-03-24 - Kings 2, Sharks 4",49.7,58.82,50.82,5.56,80.95,0.865,West
"2021-03-24 - Kings 2, Sharks 4",49.7,41.18,49.18,19.05,94.44,1.135,West
"2021-03-25 - Blues 0, Wild 2",44.566666666667,30.43,25.81,25.0,100.0,1.25,West
"2021-03-25 - Blues 0, Wild 2",44.566666666667,69.57,74.19,0.0,75.0,0.75,West
"2021-03-25 - Golden Knights 1, Avalanche 5",50.066666666667,52.94,56.25,13.79,94.44,1.082,West
"2021-03-25 - Golden Knights 1, Avalanche 5",50.066666666667,47.06,43.75,5.56,86.21,0.918,West
"2021-03-26 - Ducks 4, Blues 1",51.566666666667,45.07,52.94,9.52,100.0,1.095,West
"2021-03-26 - Ducks 4, Blues 1",51.566666666667,54.93,47.06,0.0,90.48,0.905,West
"2021-03-26 - Sharks 2, Coyotes 5",49.083333333333,57.78,55.32,16.0,100.0,1.16,West
"2021-03-26 - Sharks 2, Coyotes 5",49.083333333333,42.22,44.68,0.0,84.0,0.84,West
"2021-03-27 - Golden Knights 3, Avalanche 2",48.1,50.0,50.0,13.33,94.74,1.081,West
"2021-03-27 - Golden Knights 3, Avalanche 2",48.1,50.0,50.0,5.26,86.67,0.919,West
"2021-03-27 - Sharks 0, Coyotes 4",42.483333333333,40.51,40.48,11.76,100.0,1.118,West
"2021-03-27 - Sharks 0, Coyotes 4",42.483333333333,59.49,59.52,0.0,88.24,0.882,West
"2021-03-28 - Ducks 3, Blues 2",53.9,44.09,39.53,9.09,96.97,1.061,West
"2021-03-28 - Ducks 3, Blues 2",53.9,55.91,60.47,3.03,90.91,0.939,West
"2021-03-29 - Ducks 2, Avalanche 5",45.566666666667,35.44,31.43,20.0,86.67,1.067,West
"2021-03-29 - Ducks 2, Avalanche 5",45.566666666667,64.56,68.57,13.33,80.0,0.933,West
