Game,TOI,CF%,SCF%,SH%,SV%,PDO,Division
"2021-03-04 - Lightning 3, Blackhawks 2",54.0,58.77,61.29,3.33,96.3,0.996,Central
"2021-03-04 - Lightning 3, Blackhawks 2",54.0,41.23,38.71,3.7,96.67,1.004,Central
"2021-03-04 - Panthers 5, Predators 4",49.333333333333,48.48,50.98,9.68,89.29,0.99,Central
"2021-03-04 - Panthers 5, Predators 4",49.333333333333,51.52,49.02,10.71,90.32,1.01,Central
"2021-03-04 - Red Wings 2, Hurricanes 5",49.65,52.13,54.55,12.5,95.83,1.083,Central
"2021-03-04 - Red Wings 2, Hurricanes 5",49.65,47.87,45.45,4.17,87.5,0.917,Central
"2021-03-05 - Lightning 3, Blackhawks 4",43.016666666667,37.36,30.0,13.33,92.59,1.059,Central
"2021-03-05 - Lightning 3, Blackhawks 4",43.016666666667,62.64,70.0,7.41,86.67,0.941,Central
"2021-03-06 - Blue Jackets 0, Stars 5",45.383333333333,47.22,51.72,0.0,83.33,0.833,Central
"2021-03-06 - Blue Jackets 0, Stars 5",45.383333333333,52.78,48.28,16.67,100.0,1.167,Central
"2021-03-06 - Panthers 6, Predators 2",49.733333333333,38.46,36.36,27.78,96.3,1.241,Central
"2021-03-06 - Panthers 6, Predators 2",49.733333333333,61.54,63.64,3.7,72.22,0.759,Central
"2021-03-07 - Lightning 6, Blackhawks 3",40.766666666667,44.16,42.11,10.53,92.86,1.034,Central
"2021-03-07 - Lightning 6, Blackhawks 3",40.766666666667,55.84,57.89,7.14,89.47,0.966,Central
"2021-03-07 - Panthers 2, Hurricanes 4",41.833333333333,58.11,61.76,9.09,85.71,0.948,Central
"2021-03-07 - Panthers 2, Hurricanes 4",41.833333333333,41.89,38.24,14.29,90.91,1.052,Central
"2021-03-07 - Predators 4, Stars 3",44.266666666667,63.01,68.29,3.7,92.86,0.966,Central
"2021-03-07 - Predators 4, Stars 3",44.266666666667,36.99,31.71,7.14,96.3,1.034,Central
"2021-03-09 - Blackhawks 1, Stars 6",50.15,40.0,30.56,5.26,83.33,0.886,Central
"2021-03-09 - Blackhawks 1, Stars 6",50.15,60.0,69.44,16.67,94.74,1.114,Central
"2021-03-09 - Lightning 4, Red Wings 3",50.05,49.3,37.5,10.53,90.0,1.005,Central
"2021-03-09 - Lightning 4, Red Wings 3",50.05,50.7,62.5,10.0,89.47,0.995,Central
"2021-03-09 - Panthers 4, Blue Jackets 2",47.066666666667,49.48,51.72,7.41,96.3,1.037,Central
"2021-03-09 - Panthers 4, Blue Jackets 2",47.066666666667,50.52,48.28,3.7,92.59,0.963,Central
"2021-03-09 - Predators 2, Hurricanes 3",40.333333333333,54.02,52.38,0.0,87.5,0.875,Central
"2021-03-09 - Predators 2, Hurricanes 3",40.333333333333,45.98,47.62,12.5,100.0,1.125,Central
"2021-03-11 - Blackhawks 4, Stars 2",39.566666666667,36.51,31.25,22.22,90.91,1.131,Central
"2021-03-11 - Blackhawks 4, Stars 2",39.566666666667,63.49,68.75,9.09,77.78,0.869,Central
"2021-03-11 - Lightning 4, Red Wings 6",42.816666666667,28.21,30.3,31.25,93.33,1.246,Central
"2021-03-11 - Lightning 4, Red Wings 6",42.816666666667,71.79,69.7,6.67,68.75,0.754,Central
"2021-03-11 - Panthers 5, Blue Jackets 4",47.833333333333,49.37,50.0,13.64,86.36,1.0,Central
"2021-03-11 - Panthers 5, Blue Jackets 4",47.833333333333,50.63,50.0,13.64,86.36,1.0,Central
"2021-03-11 - Predators 1, Hurricanes 5",53.066666666667,39.13,32.61,10.53,96.77,1.073,Central
"2021-03-11 - Predators 1, Hurricanes 5",53.066666666667,60.87,67.39,3.23,89.47,0.927,Central
"2021-03-13 - Blackhawks 2, Panthers 4",45.783333333333,42.5,43.18,8.33,86.67,0.95,Central
"2021-03-13 - Blackhawks 2, Panthers 4",45.783333333333,57.5,56.82,13.33,91.67,1.05,Central
"2021-03-13 - Predators 3, Lightning 6",53.916666666667,54.88,58.54,7.41,82.61,0.9,Central
"2021-03-13 - Predators 3, Lightning 6",53.916666666667,45.12,41.46,17.39,92.59,1.1,Central
"2021-03-13 - Stars 3, Blue Jackets 4",55.2,41.28,37.78,14.29,89.66,1.039,Central
"2021-03-13 - Stars 3, Blue Jackets 4",55.2,58.72,62.22,10.34,85.71,0.961,Central
"2021-03-14 - Hurricanes 2, Red Wings 1",49.816666666667,56.34,59.46,3.57,100.0,1.036,Central
"2021-03-14 - Hurricanes 2, Red Wings 1",49.816666666667,43.66,40.54,0.0,96.43,0.964,Central
"2021-03-14 - Stars 2, Blue Jackets 1",55.4,47.87,40.54,4.17,96.55,1.007,Central
"2021-03-14 - Stars 2, Blue Jackets 1",55.4,52.13,59.46,3.45,95.83,0.993,Central
"2021-03-15 - Blackhawks 3, Panthers 6",43.666666666667,47.83,44.83,13.64,95.65,1.093,Central
"2021-03-15 - Blackhawks 3, Panthers 6",43.666666666667,52.17,55.17,4.35,86.36,0.907,Central
