Game,TOI,CF%,SCF%,SH%,SV%,PDO,Division
"2021-02-22 - Flames 3, Maple Leafs 0",39.016666666667,39.74,40.63,5.0,100.0,1.05,North
"2021-02-22 - Flames 3, Maple Leafs 0",39.016666666667,60.26,59.38,0.0,95.0,0.95,North
"2021-02-23 - Canadiens 4, Senators 5",48.9,53.27,57.14,12.9,91.3,1.042,North
"2021-02-23 - Canadiens 4, Senators 5",48.9,46.73,42.86,8.7,87.1,0.958,North
"2021-02-23 - Oilers 4, Canucks 3",49.333333333333,51.46,54.17,11.54,88.89,1.004,North
"2021-02-23 - Oilers 4, Canucks 3",49.333333333333,48.54,45.83,11.11,88.46,0.996,North
"2021-02-24 - Flames 1, Maple Leafs 2",45.15,40.23,42.22,5.56,100.0,1.056,North
"2021-02-24 - Flames 1, Maple Leafs 2",45.15,59.77,57.78,0.0,94.44,0.944,North
"2021-02-25 - Canadiens 3, Jets 6",45.666666666667,50.0,47.5,10.53,80.95,0.915,North
"2021-02-25 - Canadiens 3, Jets 6",45.666666666667,50.0,52.5,19.05,89.47,1.085,North
"2021-02-25 - Flames 1, Senators 6",60.0,52.17,41.86,3.33,80.65,0.84,North
"2021-02-25 - Flames 1, Senators 6",60.0,47.83,58.14,19.35,96.67,1.16,North
"2021-02-25 - Oilers 3, Canucks 0",41.066666666667,43.9,40.48,0.0,100.0,1.0,North
"2021-02-25 - Oilers 3, Canucks 0",41.066666666667,56.1,59.52,0.0,100.0,1.0,North
"2021-02-27 - Canadiens 1, Jets 2",50.783333333333,74.73,72.0,2.7,100.0,1.027,North
"2021-02-27 - Canadiens 1, Jets 2",50.783333333333,25.27,28.0,0.0,97.3,0.973,North
"2021-02-27 - Flames 6, Senators 3",45.066666666667,56.57,54.29,12.9,100.0,1.129,North
"2021-02-27 - Flames 6, Senators 3",45.066666666667,43.43,45.71,0.0,87.1,0.871,North
"2021-02-27 - Maple Leafs 4, Oilers 0",59.6,60.42,53.49,0.0,89.29,0.893,North
"2021-02-27 - Maple Leafs 4, Oilers 0",59.6,39.58,46.51,10.71,100.0,1.107,North
"2021-03-01 - Canucks 4, Jets 0",52.283333333333,39.47,33.33,12.5,100.0,1.125,North
"2021-03-01 - Canucks 4, Jets 0",52.283333333333,60.53,66.67,0.0,87.5,0.875,North
"2021-03-01 - Flames 1, Senators 5",50.233333333333,43.27,40.54,0.0,86.21,0.862,North
"2021-03-01 - Flames 1, Senators 5",50.233333333333,56.73,59.46,13.79,100.0,1.138,North
"2021-03-01 - Maple Leafs 3, Oilers 0",47.133333333333,65.75,56.76,0.0,84.62,0.846,North
"2021-03-01 - Maple Leafs 3, Oilers 0",47.133333333333,34.25,43.24,15.38,100.0,1.154,North
"2021-03-02 - Canucks 2, Jets 5",51.866666666667,45.28,38.0,3.85,91.43,0.953,North
"2021-03-02 - Canucks 2, Jets 5",51.866666666667,54.72,62.0,8.57,96.15,1.047,North
"2021-03-02 - Senators 1, Canadiens 3",50.716666666667,58.14,66.67,0.0,95.24,0.952,North
"2021-03-02 - Senators 1, Canadiens 3",50.716666666667,41.86,33.33,4.76,100.0,1.048,North
"2021-03-03 - Maple Leafs 6, Oilers 1",53.566666666667,61.96,53.49,4.17,80.0,0.842,North
"2021-03-03 - Maple Leafs 6, Oilers 1",53.566666666667,38.04,46.51,20.0,95.83,1.158,North
"2021-03-04 - Jets 4, Canadiens 3",53.183333333333,56.25,48.65,4.0,85.0,0.89,North
